filename,image_path,latitude,longitude,heading,camera_point,index_right,property_id,FULLADDR,parcel_geom,parcel_centroid_proj,parcel_rep_pt_proj,distance_boundary_ft,distance_centroid_ft,bearing_to_parcel_deg,angle_diff_deg,match_score,camera_point_wkt,parcel_geom_wkt,parcel_centroid_proj_wkt,parcel_rep_pt_proj_wkt,geometry_wkt
Run 10_Camera 4 360_115_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_115_1.jpg,39.30366722222222,-76.58381027777777,175.53186464,POINT (1430106.977738962 596453.5960222421),49706,1572 002,2403 E CHASE ST,"POLYGON ((1430114.6853981595 596346.3539249672, 1430111.615443936 596413.2836025268, 1430111.484883841 596416.283923135, 1430098.5051692107 596415.5840186678, 1430101.565395457 596348.6538291264, 1430101.7051715415 596345.6535085145, 1430114.6853981595 596346.3539249672))",POINT (1430106.5930284108 596380.9646959963),POINT (1430106.5927737714 596380.9687158265),37.50065718191131,72.63234509802258,180.30369671143262,4.771832071432613,42.27248925334392,POINT (1430106.977739 596453.596022),"POLYGON ((1430114.685398 596346.353925, 1430111.615444 596413.283603, 1430111.484884 596416.283923, 1430098.505169 596415.584019, 1430101.565395 596348.653829, 1430101.705172 596345.653509, 1430114.685398 596346.353925))",POINT (1430106.593028 596380.964696),POINT (1430106.592774 596380.968716),"POLYGON ((1430106.977739 596453.596022, 1430170.929866 596340.414198, 1430061.383066 596331.853976, 1430106.977739 596453.596022))"
Run 10_Camera 4 360_130_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_130_3.jpg,39.2940925,-76.65437083333335,356.0005418,POINT (1410153.0137064669 592882.8695602864),77796,2201 045,2342 LAURETTA AVE,"POLYGON ((1410162.46127389 592914.3128127822, 1410162.2114177074 592919.3626697961, 1410159.0313835396 592983.2223947285, 1410158.781015372 592988.2225877373, 1410145.1213646187 592987.5825872866, 1410145.3814607877 592982.5823942649, 1410148.5512549656 592918.6924613349, 1410148.801111127 592913.6728123283, 1410162.46127389 592914.3128127822))",POINT (1410153.7947384028 592950.9428830955),POINT (1410153.7935339813 592950.9725320304),30.96665047843426,68.0778032045145,0.6560487964380712,4.655506996438078,35.62215747487234,POINT (1410153.013706 592882.86956),"POLYGON ((1410162.461274 592914.312813, 1410162.211418 592919.36267, 1410159.031384 592983.222395, 1410158.781015 592988.222588, 1410145.121365 592987.582587, 1410145.381461 592982.582394, 1410148.551255 592918.692461, 1410148.801111 592913.672812, 1410162.461274 592914.312813))",POINT (1410153.794738 592950.942883),POINT (1410153.793534 592950.972532),"POLYGON ((1410153.013706 592882.86956, 1410089.989531 592996.570718, 1410199.602688 593004.234575, 1410153.013706 592882.86956))"
Run 10_Camera 4 360_136_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_136_1.jpg,39.2941,-76.65416055555556,357.220324,POINT (1410212.5157154885 592885.8266797713),77792,2201 041,2334 LAURETTA AVE,"POLYGON ((1410216.6610928092 592916.8728146001, 1410216.4015086347 592922.0624476486, 1410213.2214744757 592985.7823965354, 1410212.9813463013 592990.7825895476, 1410199.2710075432 592990.1328610957, 1410202.691169873 592921.3825111709, 1410202.9410260422 592916.2225741354, 1410216.6610928092 592916.8728146001))",POINT (1410207.9631329821 592953.4975644948),POINT (1410207.941940088 592953.922422092),30.81508336619498,67.82385013211669,356.1573954577916,1.0629285422083967,31.878011908403376,POINT (1410212.515715 592885.82668),"POLYGON ((1410216.661093 592916.872815, 1410216.401509 592922.062448, 1410213.221474 592985.782397, 1410212.981346 592990.78259, 1410199.271008 592990.132861, 1410202.69117 592921.382511, 1410202.941026 592916.222574, 1410216.661093 592916.872815))",POINT (1410207.963133 592953.497564),POINT (1410207.94194 592953.922422),"POLYGON ((1410212.515715 592885.82668, 1410151.926247 593000.843706, 1410261.67771 593006.172425, 1410212.515715 592885.82668))"
Run 10_Camera 4 360_137_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_137_1.jpg,39.29410055555555,-76.65412555555557,357.246696,POINT (1410222.4205713798 592886.0665588297),77791,2201 040,2332 LAURETTA AVE,"POLYGON ((1410230.51120761 592917.5230550452, 1410230.251111433 592922.7423841225, 1410226.840677096 592991.4333420036, 1410212.9813463013 592990.7825895476, 1410213.2214744757 592985.7823965354, 1410216.4015086347 592922.0624476486, 1410216.6610928092 592916.8728146001, 1410230.51120761 592917.5230550452))",POINT (1410221.7456557376 592954.160425109),POINT (1410221.7403504974 592954.2623903289),31.042461660502585,68.0972109265726,359.4285208875083,2.1818248875082986,33.22428654801088,POINT (1410222.420571 592886.066559),"POLYGON ((1410230.511208 592917.523055, 1410230.251111 592922.742384, 1410226.840677 592991.433342, 1410212.981346 592990.78259, 1410213.221474 592985.782397, 1410216.401509 592922.062448, 1410216.661093 592916.872815, 1410230.511208 592917.523055))",POINT (1410221.745656 592954.160425),POINT (1410221.74035 592954.26239),"POLYGON ((1410222.420571 592886.066559, 1410161.884049 593001.111461, 1410271.637953 593006.389663, 1410222.420571 592886.066559))"
Run 10_Camera 4 360_141_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_141_1.jpg,39.294106944444444,-76.6539863888889,352.2549176,POINT (1410261.7983927683 592888.5428462802),77789,2201 038,2328 LAURETTA AVE,"POLYGON ((1410257.361517017 592918.7928159501, 1410257.0911808324 592924.0925290292, 1410253.681258513 592992.6933749215, 1410239.8214157172 592992.0426224504, 1410240.0712718784 592987.0424294372, 1410243.2313380516 592923.4023525477, 1410243.5011622305 592918.1328474943, 1410257.361517017 592918.7928159501))",POINT (1410248.5881417587 592955.4138199296),POINT (1410248.5804170677 592955.5674792333),30.573624768186722,68.1633174703147,348.84381725612684,3.4111003438731586,33.98472511205988,POINT (1410261.798393 592888.542846),"POLYGON ((1410257.361517 592918.792816, 1410257.091181 592924.092529, 1410253.681259 592992.693375, 1410239.821416 592992.042622, 1410240.071272 592987.042429, 1410243.231338 592923.402353, 1410243.501162 592918.132847, 1410257.361517 592918.792816))",POINT (1410248.588142 592955.41382),POINT (1410248.580417 592955.567479),"POLYGON ((1410261.798393 592888.542846, 1410191.481096 592997.883954, 1410300.359453 593012.69213, 1410261.798393 592888.542846))"
Run 10_Camera 4 360_14_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_14_1.jpg,39.312017499999996,-76.61501055555556,86.45961425,POINT (1421265.1301593126 599456.2860020597),122463,3801 014,1927 SAINT PAUL ST,"POLYGON ((1421394.0727390044 599454.7539647412, 1421393.6232027358 599462.3638222876, 1421393.0733143974 599471.6940001677, 1421298.6533273463 599467.8340291169, 1421298.963599541 599461.9537079344, 1421299.6532639945 599449.2443293786, 1421302.6535845925 599449.4240414836, 1421394.0727390044 599454.7539647412))",POINT (1421345.6346745307 599460.8452023793),POINT (1421346.509513969 599458.3538363378),34.090838706482174,80.63351212772868,88.54443810200645,2.0848238520064513,36.175662558488625,POINT (1421265.130159 599456.286002),"POLYGON ((1421394.072739 599454.753965, 1421393.623203 599462.363822, 1421393.073314 599471.694, 1421298.653327 599467.834029, 1421298.9636 599461.953708, 1421299.653264 599449.244329, 1421302.653585 599449.424041, 1421394.072739 599454.753965))",POINT (1421345.634675 599460.845202),POINT (1421346.509514 599458.353836),"POLYGON ((1421265.130159 599456.286002, 1421379.332632 599518.397154, 1421386.117996 599408.726111, 1421265.130159 599456.286002))"
Run 10_Camera 4 360_151_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_151_1.jpg,39.29411722222222,-76.65363444444445,357.6921518,POINT (1410361.3907160924 592892.6640621532),77781,2201 030,2312 LAURETTA AVE,"POLYGON ((1410365.4114588047 592923.8826115674, 1410365.131394616 592929.4623886956, 1410361.7312003088 592997.7918745303, 1410349.1513577688 592997.202562103, 1410352.5510400853 592928.8326282636, 1410352.831104275 592923.2932991426, 1410365.4114588047 592923.8826115674))",POINT (1410357.2797145797 592960.5414074936),POINT (1410357.140750818 592963.3324753994),30.99621268952152,68.00172309510577,356.5584038071122,1.133747992887777,32.1299606824093,POINT (1410361.390716 592892.664062),"POLYGON ((1410365.411459 592923.882612, 1410365.131395 592929.462389, 1410361.7312 592997.791875, 1410349.151358 592997.202562, 1410352.55104 592928.832628, 1410352.831104 592923.293299, 1410365.411459 592923.882612))",POINT (1410357.279715 592960.541407),POINT (1410357.140751 592963.332475),"POLYGON ((1410361.390716 592892.664062, 1410301.750451 593008.176134, 1410411.542073 593012.600884, 1410361.390716 592892.664062))"
Run 10_Camera 4 360_152_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_152_1.jpg,39.2941175,-76.65359944444445,357.3933332,POINT (1410371.2959521138 592892.8028231411),77780,2201 029,2310 LAURETTA AVE,"POLYGON ((1410379.5313976614 592924.553332034, 1410379.251333471 592930.1628051609, 1410376.1015073154 592993.4526739992, 1410375.8511391433 592998.4528669978, 1410361.7312003088 592997.7918745303, 1410365.131394616 592929.4623886956, 1410365.4114588047 592923.8826115674, 1410379.5313976614 592924.553332034))",POINT (1410370.6307472829 592961.1699484518),POINT (1410370.5991269872 592961.80773958),31.323991670273653,68.37036142010923,359.4214356910141,2.028102491014124,33.35209416128778,POINT (1410371.295952 592892.802823),"POLYGON ((1410379.531398 592924.553332, 1410379.251333 592930.162805, 1410376.101507 592993.452674, 1410375.851139 592998.452867, 1410361.7312 592997.791875, 1410365.131395 592929.462389, 1410365.411459 592923.882612, 1410379.531398 592924.553332))",POINT (1410370.630747 592961.169948),POINT (1410370.599127 592961.80774),"POLYGON ((1410371.295952 592892.802823, 1410311.054063 593008.00228, 1410420.821116 593012.999571, 1410371.295952 592892.802823))"
Run 10_Camera 4 360_169_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_169_1.jpg,39.294307777777775,-76.65319833333334,266.6652575,POINT (1410484.5542114675 592962.5388152911),76187,2157 001,400 N SMALLWOOD ST,"POLYGON ((1410491.402779778 592948.0735955002, 1410487.9826172811 593024.0139628825, 1410463.172628282 593022.6136419993, 1410438.2126232563 593021.2235611272, 1410283.1124319993 593012.5738276603, 1410216.452578577 593008.853633311, 1410197.0723512003 592985.7736921585, 1410178.3730841712 592953.7639571899, 1410143.6727905732 592893.2434960457, 1410123.9623229848 592876.3341801271, 1410091.7324290026 592852.9736626088, 1410113.0757934945 592846.1330857198, 1410121.2756032278 592843.5044773811, 1410178.9127353523 592825.023578982, 1410340.7124492931 592777.8637652494, 1410405.0723986656 592764.0136519693, 1410470.5223961142 592756.9536840966, 1410499.242529962 592756.0438605878, 1410493.8007338601 592881.3352779782, 1410494.2798379406 592882.0514381287, 1410493.6627494337 592898.1238893898, 1410491.402779778 592948.0735955002))",POINT (1410336.448708253 592895.0636428127),POINT (1410315.6073607877 592887.6474670873),0.0,162.7517710607992,246.09308112858,20.57217637142,20.57217637142,POINT (1410484.554211 592962.538815),"POLYGON ((1410491.40278 592948.073596, 1410487.982617 593024.013963, 1410463.172628 593022.613642, 1410438.212623 593021.223561, 1410283.112432 593012.573828, 1410216.452579 593008.853633, 1410197.072351 592985.773692, 1410178.373084 592953.763957, 1410143.672791 592893.243496, 1410123.962323 592876.33418, 1410091.732429 592852.973663, 1410113.075793 592846.133086, 1410121.275603 592843.504477, 1410178.912735 592825.023579, 1410340.712449 592777.863765, 1410405.072399 592764.013652, 1410470.522396 592756.953684, 1410499.24253 592756.043861, 1410493.800734 592881.335278, 1410494.279838 592882.051438, 1410493.662749 592898.123889, 1410491.40278 592948.073596))",POINT (1410336.448708 592895.063643),POINT (1410315.607361 592887.647467),"POLYGON ((1410484.554211 592962.538815, 1410370.129548 592900.837953, 1410363.737853 593010.532643, 1410484.554211 592962.538815))"
Run 10_Camera 4 360_192_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_192_3.jpg,39.30271277777778,-76.58539999999999,86.2841572,POINT (1429658.6990427105 596103.9113320787),49743,1572 037,2301 E CHASE ST,"POLYGON ((1429987.7549483909 596014.1436782761, 1429857.9552395623 596118.533840401, 1429843.884958065 596395.5735124834, 1429843.5649578376 596401.9038817808, 1429687.8949104657 596393.553668325, 1429708.0748920331 595998.4938763817, 1429987.7549483909 596014.1436782761))",POINT (1429788.6471943643 596184.771980491),POINT (1429772.945210765 596256.043754363),43.93375856068295,153.05216947141486,36.90527761995465,49.37887958004534,93.3126381407283,POINT (1429658.699043 596103.911332),"POLYGON ((1429987.754948 596014.143678, 1429857.95524 596118.53384, 1429843.884958 596395.573512, 1429843.564958 596401.903882, 1429687.89491 596393.553668, 1429708.074892 595998.493876, 1429987.754948 596014.143678))",POINT (1429788.647194 596184.77198),POINT (1429772.945211 596256.043754),"POLYGON ((1429658.699043 596103.911332, 1429772.710777 596166.371914, 1429779.831955 596056.722165, 1429658.699043 596103.911332))"
